symbol,symboltoken,pdh,pdl,dir,open,perc,is_gap,min,max,o_qty,ltp
HDFC-EQ,1330.0,2785.0,2761.0,1,2810.0,0.009,True,2761.0,2810.0,35,2789.5
EASEMYTRIP-EQ,2792.0,42.7,41.85,-1,41.5,0.0084,True,41.5,42.7,2409,40.9
KNRCON-EQ,15283.0,242.4,237.5,1,244.0,0.0066,True,237.5,244.0,409,243.95
AEGISCHEM-EQ,40.0,325.95,322.5,1,327.85,0.0058,True,322.5,327.85,305,325.55
COROMANDEL-EQ,739.0,945.0,933.5,1,950.1,0.0054,True,933.5,950.1,105,950.3
WIPRO-EQ,3787.0,383.75,380.8,1,385.0,0.0033,True,380.8,385.0,259,384.45
L&TFH-EQ,24948.0,124.0,121.25,1,124.4,0.0032,True,121.25,124.4,803,124.0
TATACONSUM-EQ,3432.0,860.0,851.0,-1,850.05,0.0011,True,850.05,860.0,117,850.3
SBIN-EQ,3045.0,574.0,568.55,1,574.0,0.0,False,568.55,574.0,174,572.55
KOTAKBANK-EQ,1922.0,1848.1,1829.4,1,1847.9,-0.0001,False,1829.4,1848.1,54,1845.45
EICHERMOT-EQ,910.0,3569.9,3537.9,-1,3542.05,-0.0012,False,3537.9,3569.9,28,3536.9
BALAMINES-EQ,14501.0,2356.0,2322.0,1,2352.45,-0.0015,False,2322.0,2356.0,42,2345.45
VOLTAS-EQ,3718.0,766.7,758.8,-1,759.95,-0.0015,False,758.8,766.7,131,761.3
VIPIND-EQ,3703.0,620.95,608.5,1,620.0,-0.0015,False,608.5,620.95,161,615.75
NATIONALUM-EQ,6364.0,82.95,81.75,1,82.8,-0.0018,False,81.75,82.95,1207,82.15
TATAINVEST-EQ,1621.0,2353.45,2313.0,1,2348.95,-0.0019,False,2313.0,2353.45,42,2338.3
GNFC-EQ,1174.0,593.2,584.0,1,592.0,-0.002,False,584.0,593.2,168,590.7
IOB-EQ,9348.0,24.15,23.9,1,24.1,-0.0021,False,23.9,24.15,4149,24.1
JKCEMENT-EQ,13270.0,3466.3,3395.0,-1,3402.4,-0.0022,False,3395.0,3466.3,29,3428.0
ALKYLAMINE-EQ,4487.0,2665.0,2641.05,1,2658.8,-0.0023,False,2641.05,2665.0,37,2669.8
CIEINDIA-EQ,14937.0,521.3,512.85,1,520.0,-0.0025,False,512.85,521.3,192,518.55
RCF-EQ,2866.0,111.0,109.5,1,110.7,-0.0027,False,109.5,111.0,903,110.7
IRFC-EQ,2029.0,32.85,32.5,1,32.75,-0.003,False,32.5,32.85,3053,32.7
HCLTECH-EQ,7229.0,1173.95,1166.5,1,1170.35,-0.0031,False,1166.5,1173.95,85,1168.0
GODFRYPHLP-EQ,1181.0,1655.0,1632.55,1,1649.85,-0.0031,False,1632.55,1655.0,60,1652.25
